block_slug,attr_name,attr_type,canonical_slot,standalone_block,attr_role,slot_role,role_classification,is_responsive,inspector_control_type
sgs/heading,headline,string,heading,sgs/heading,text-content,text-content,content-bearing,0,
sgs/heading,headlineColour,string,heading,sgs/heading,color,text-content,content-bearing,0,TextControl
sgs/heading,headlineFontFamily,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineFontSize,number,heading,sgs/heading,typography,text-content,content-bearing,1,
sgs/heading,headlineFontSizeMobile,number,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineFontSizeTablet,number,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineFontSizeUnit,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineFontStyle,string,heading,sgs/heading,select-from-enum,text-content,content-bearing,0,
sgs/heading,headlineFontWeight,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineId,string,heading,sgs/heading,enum-class-probe,text-content,content-bearing,0,SelectControl
sgs/heading,headlineLetterSpacing,number,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineLetterSpacingUnit,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineLineHeight,number,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineLineHeightUnit,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineMarginBottom,string,heading,sgs/heading,layout,text-content,content-bearing,1,
sgs/heading,headlineMarginBottomMobile,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineMarginBottomTablet,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineMarginLeft,string,heading,sgs/heading,layout,text-content,content-bearing,1,
sgs/heading,headlineMarginLeftMobile,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineMarginLeftTablet,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineMarginRight,string,heading,sgs/heading,layout,text-content,content-bearing,1,
sgs/heading,headlineMarginRightMobile,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineMarginRightTablet,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineMarginTop,string,heading,sgs/heading,layout,text-content,content-bearing,1,
sgs/heading,headlineMarginTopMobile,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineMarginTopTablet,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineMarginUnit,string,heading,sgs/heading,layout,text-content,content-bearing,0,
sgs/heading,headlineTextDecoration,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/heading,headlineTextTransform,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/hero,headline,string,heading,sgs/heading,text-content,text-content,content-bearing,0,
sgs/hero,headlineColour,string,heading,sgs/heading,color,text-content,content-bearing,0,RangeControl
sgs/hero,headlineFontSizeDesktop,number,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/hero,headlineFontSizeMobile,number,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/hero,headlineFontSizeTablet,number,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/hero,headlineMarginBottom,number,heading,sgs/heading,layout,text-content,content-bearing,1,RangeControl
sgs/hero,headlineMarginBottomMobile,number,heading,sgs/heading,layout,text-content,content-bearing,0,RangeControl
sgs/info-box,heading,string,heading,sgs/heading,text-content,text-content,content-bearing,0,
sgs/info-box,headingColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/info-box,headingFontSize,string,heading,sgs/heading,typography,text-content,content-bearing,1,
sgs/info-box,headingFontSizeMobile,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/info-box,headingFontSizeTablet,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/post-grid,titleColour,string,heading,sgs/heading,color,text-content,content-bearing,0,
sgs/post-grid,titleFontSize,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/pricing-table,titleColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/process-steps,titleColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/table-of-contents,title,string,heading,sgs/heading,text-content,text-content,content-bearing,0,SelectControl
sgs/table-of-contents,titleColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/team-member,name,string,heading,sgs/heading,text-content,text-content,content-bearing,0,MediaPicker
sgs/team-member,nameColour,string,heading,sgs/heading,color,text-content,content-bearing,0,ToggleControl
sgs/testimonial,name,string,heading,sgs/heading,text-content,text-content,content-bearing,0,
sgs/testimonial,nameColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/testimonial,nameFontSize,string,heading,sgs/heading,typography,text-content,content-bearing,1,
sgs/testimonial,nameFontSizeMobile,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/testimonial,nameFontSizeTablet,string,heading,sgs/heading,typography,text-content,content-bearing,0,
sgs/testimonial-slider,nameColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/testimonial-slider,nameFontSize,string,heading,sgs/heading,typography,text-content,content-bearing,0,SelectControl
core/accordion,iconPosition,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,
core/accordion-heading,iconPosition,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,
core/social-links,iconBackgroundColor,string,icon,sgs/icon,color,image-object,content-bearing,0,
core/social-links,iconColor,string,icon,sgs/icon,color,image-object,content-bearing,0,
sgs/accordion,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,DesignTokenPicker
sgs/accordion,iconPosition,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/back-to-top,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,
sgs/business-info,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,
sgs/button,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,RangeControl
sgs/button,iconColourHover,string,icon,sgs/icon,color,image-object,content-bearing,0,TextControl
sgs/button,iconGap,number,icon,sgs/icon,layout,image-object,content-bearing,0,RangeControl
sgs/button,iconPosition,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/button,iconSize,number,icon,sgs/icon,select-from-enum,image-object,content-bearing,1,RangeControl
sgs/button,iconSizeMobile,number,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,
sgs/button,iconSizeTablet,number,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,
sgs/button,iconTitle,string,icon,sgs/icon,text-content,image-object,content-bearing,0,TextControl
sgs/button,iconValue,object,icon,sgs/icon,image-object,image-object,content-bearing,0,
sgs/heading,iconPosition,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/icon,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,RangeControl
sgs/icon,iconName,string,icon,sgs/icon,image-object,image-object,content-bearing,0,SelectControl
sgs/icon,iconSize,number,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,RangeControl
sgs/icon,iconSource,string,icon,sgs/icon,image-object,image-object,content-bearing,0,SelectControl
sgs/icon,iconValue,object,icon,sgs/icon,image-object,image-object,content-bearing,0,
sgs/icon-block,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,
sgs/icon-block,iconSize,number,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,
sgs/icon-block,iconValue,object,icon,sgs/icon,image-object,image-object,content-bearing,0,
sgs/icon-list,bulletChar,string,icon,sgs/icon,text-content,image-object,content-bearing,0,
sgs/icon-list,emojiChar,string,icon,sgs/icon,text-content,image-object,content-bearing,0,
sgs/icon-list,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,SelectControl
sgs/icon-list,iconSize,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/icon-list,subBulletChar,string,icon,sgs/icon,text-content,image-object,content-bearing,0,
sgs/icon-list,subEmojiChar,string,icon,sgs/icon,text-content,image-object,content-bearing,0,
sgs/icon-list,subIcon,string,icon,sgs/icon,text-content,image-object,content-bearing,0,
sgs/info-box,iconBackgroundColour,string,icon,sgs/icon,color,image-object,content-bearing,0,
sgs/info-box,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,DesignTokenPicker
sgs/info-box,iconPosition,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/info-box,iconSize,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,1,
sgs/info-box,iconSizeMobile,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,
sgs/info-box,iconSizeTablet,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,
sgs/info-box,iconValue,object,icon,sgs/icon,image-object,image-object,content-bearing,0,
sgs/mega-menu,iconPosition,string,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/mobile-nav-toggle,iconSize,number,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,RangeControl
sgs/notice-banner,customIcon,object,icon,sgs/icon,text-content,image-object,content-bearing,0,
sgs/social-icons,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,DesignTokenPicker
sgs/social-icons,iconSize,number,icon,sgs/icon,select-from-enum,image-object,content-bearing,0,RangeControl
sgs/social-icons,icons,array,icon,sgs/icon,image-object,image-object,content-bearing,0,
sgs/trust-badges,iconColour,string,icon,sgs/icon,color,image-object,content-bearing,0,DesignTokenPicker
sgs/whatsapp-cta,iconOverride,object,icon,sgs/icon,text-content,image-object,content-bearing,0,
core/post-navigation-link,arrow,string,items,sgs/info-box,text-content,text-content,content-bearing,0,
sgs/card-grid,items,array,items,sgs/info-box,text-content,text-content,content-bearing,0,
sgs/certification-bar,items,array,items,sgs/info-box,text-content,text-content,content-bearing,0,
sgs/data-display,defaultDataSourceId,number,items,sgs/info-box,query-descriptor,text-content,content-bearing,0,
sgs/hero,badges,array,items,sgs/info-box,text-content,text-content,content-bearing,0,
sgs/icon-list,items,array,items,sgs/info-box,text-content,text-content,content-bearing,0,
sgs/table-of-contents,listStyle,string,items,sgs/info-box,behaviour,text-content,content-bearing,0,SelectControl
sgs/trust-badges,items,array,items,sgs/info-box,text-content,text-content,content-bearing,0,
core/categories,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/comments-pagination-next,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/comments-pagination-previous,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/home-link,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/navigation-link,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/navigation-submenu,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/page-list-item,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/post-navigation-link,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/query-pagination-next,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/query-pagination-previous,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/search,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/social-link,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
core/tab,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
sgs/business-info,labelColour,string,label,sgs/label,color,text-content,content-bearing,0,
sgs/button,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/certification-bar,labelColour,string,label,sgs/label,color,text-content,content-bearing,0,SelectControl
sgs/certification-bar,labelFontSize,string,label,sgs/label,typography,text-content,content-bearing,0,SelectControl
sgs/countdown-timer,labelColour,string,label,sgs/label,color,text-content,content-bearing,0,DesignTokenPicker
sgs/counter,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
sgs/counter,labelColour,string,label,sgs/label,color,text-content,content-bearing,0,DesignTokenPicker
sgs/counter,labelFontSize,string,label,sgs/label,typography,text-content,content-bearing,0,SelectControl
sgs/form-field-address,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-address,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-checkbox,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-checkbox,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-consent,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-consent,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
sgs/form-field-date,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-date,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-email,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-email,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-file,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-file,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-hidden,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-number,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-number,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-phone,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-phone,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-radio,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-radio,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-select,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-select,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-text,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-text,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-textarea,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-textarea,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-tiles,fieldName,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-tiles,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/form-step,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/heading,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
sgs/heading,labelColour,string,label,sgs/label,color,text-content,content-bearing,0,DesignTokenPicker
sgs/heading,labelFontFamily,string,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelFontSize,number,label,sgs/label,typography,text-content,content-bearing,1,
sgs/heading,labelFontSizeMobile,number,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelFontSizeTablet,number,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelFontSizeUnit,string,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelFontStyle,string,label,sgs/label,select-from-enum,text-content,content-bearing,0,
sgs/heading,labelFontWeight,string,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelLetterSpacing,number,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelLetterSpacingUnit,string,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelLineHeight,number,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelLineHeightUnit,string,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelMarginBottom,string,label,sgs/label,layout,text-content,content-bearing,1,
sgs/heading,labelMarginBottomMobile,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelMarginBottomTablet,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelMarginLeft,string,label,sgs/label,layout,text-content,content-bearing,1,
sgs/heading,labelMarginLeftMobile,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelMarginLeftTablet,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelMarginRight,string,label,sgs/label,layout,text-content,content-bearing,1,
sgs/heading,labelMarginRightMobile,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelMarginRightTablet,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelMarginTop,string,label,sgs/label,layout,text-content,content-bearing,1,
sgs/heading,labelMarginTopMobile,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelMarginTopTablet,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelMarginUnit,string,label,sgs/label,layout,text-content,content-bearing,0,
sgs/heading,labelTextDecoration,string,label,sgs/label,typography,text-content,content-bearing,0,
sgs/heading,labelTextTransform,string,label,sgs/label,typography,text-content,content-bearing,0,
sgs/hero,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
sgs/hero,labelColour,string,label,sgs/label,color,text-content,content-bearing,0,DesignTokenPicker
sgs/hero,labelFontFamily,string,label,sgs/label,typography,text-content,content-bearing,0,SelectControl
sgs/hero,labelFontSize,number,label,sgs/label,typography,text-content,content-bearing,1,
sgs/hero,labelFontSizeMobile,number,label,sgs/label,typography,text-content,content-bearing,0,
sgs/hero,labelFontSizeTablet,number,label,sgs/label,typography,text-content,content-bearing,0,
sgs/hero,labelFontSizeUnit,string,label,sgs/label,typography,text-content,content-bearing,0,SelectControl
sgs/hero,labelFontWeight,string,label,sgs/label,typography,text-content,content-bearing,0,SelectControl
sgs/hero,labelLetterSpacing,number,label,sgs/label,typography,text-content,content-bearing,0,RangeControl
sgs/hero,labelLetterSpacingUnit,string,label,sgs/label,typography,text-content,content-bearing,0,RangeControl
sgs/hero,labelLineHeight,number,label,sgs/label,typography,text-content,content-bearing,0,RangeControl
sgs/hero,labelLineHeightUnit,string,label,sgs/label,typography,text-content,content-bearing,0,RangeControl
sgs/hero,labelMarginBottom,number,label,sgs/label,layout,text-content,content-bearing,0,RangeControl
sgs/hero,labelMarginBottomUnit,string,label,sgs/label,layout,text-content,content-bearing,0,RangeControl
